Tipo,ITBIS,Retenido,Facturado
01 - Gastos de personal,0.0,0.0,0.0
02 - Gastos por trabajo suministros y servicios,225.17,0.0,13472.98
03 - Arrendamientos,0.0,0.0,0.0
04 - Gastos de Activos Fijos,0.0,0.0,0.0
05 - Gastos de Representacion,0.0,0.0,0.0
06 - Otras Deducciones Admitidas,0.0,0.0,0.0
07 - Gastos Financieros,0.0,0.0,2938.88
08 - Gastos Extraordinarios,0.0,0.0,0.0
09 - Compras y Gastos que forman parte del Costo de Venta,7877.200000000001,0.0,43762.16
10 - Adquisiciones de Activos,0.0,0.0,0.0
11 - Gastos de Seguro,0.0,0.0,0.0
