Tipo,ITBIS,Retenido,Facturado
01 - Gastos de personal,0.0,0.0,0.0
02 - Gastos por trabajo suministros y servicios,0.0,0.0,3336.3199999999997
03 - Arrendamientos,3600.0,3600.0,20000.0
04 - Gastos de Activos Fijos,0.0,0.0,0.0
05 - Gastos de Representacion,0.0,0.0,0.0
06 - Otras Deducciones Admitidas,0.0,0.0,0.0
07 - Gastos Financieros,0.0,0.0,1902.4099999999999
08 - Gastos Extraordinarios,0.0,0.0,0.0
09 - Compras y Gastos que forman parte del Costo de Venta,32591.67,0.0,181064.90000000002
10 - Adquisiciones de Activos,0.0,0.0,0.0
11 - Gastos de Seguro,0.0,0.0,0.0
