Tipo,ITBIS,Retenido,Facturado
01 - Gastos de personal,0.0,0.0,0.0
02 - Gastos por trabajo suministros y servicios,35.24,0.0,4096.62
03 - Arrendamientos,3600.0,3600.0,20000.0
04 - Gastos de Activos Fijos,0.0,0.0,0.0
05 - Gastos de Representacion,0.0,0.0,0.0
06 - Otras Deducciones Admitidas,0.0,0.0,0.0
07 - Gastos Financieros,0.0,0.0,2101.88
08 - Gastos Extraordinarios,0.0,0.0,0.0
09 - Compras y Gastos que forman parte del Costo de Venta,34161.28,0.0,189205.0
10 - Adquisiciones de Activos,0.0,0.0,0.0
11 - Gastos de Seguro,0.0,0.0,0.0
