Tipo,ITBIS,Retenido,Facturado
01 - Gastos de personal,0.0,0.0,0.0
02 - Gastos por trabajo suministros y servicios,228.81,0.0,4749.42
03 - Arrendamientos,3600.0,3600.0,20000.0
04 - Gastos de Activos Fijos,0.0,0.0,0.0
05 - Gastos de Representacion,0.0,0.0,0.0
06 - Otras Deducciones Admitidas,0.0,0.0,0.0
07 - Gastos Financieros,0.0,0.0,3764.18
08 - Gastos Extraordinarios,0.0,0.0,0.0
09 - Compras y Gastos que forman parte del Costo de Venta,421.89000000000124,0.0,2343.8099999999977
10 - Adquisiciones de Activos,0.0,0.0,0.0
11 - Gastos de Seguro,0.0,0.0,0.0
