
"Agua Dasani",240.000000000816,25,11.42,Stock
"Agua Dasani Saborizada 20oz",15,30,17.44,Stock
"Bandeja Plastica",8,0,269.95,Stock
"Bandeja de Aluminio 752",2,0,97,Stock
"Bubbaloo Xtreme Mor@Azul",40,10,3.78,Stock
"Bubbaloo Xtreme Sabor a Fresa",40,10,3.2,Stock
"Cafe con leche",2,35,0,Stock
Cheetos,62,40,24.11,Stock
Chicharron,59,40,24.11,Stock
"Chokis 63g",6,25,17.52,Stock
"Chokis Chocolate 63g",19,35,24.51,Stock
"Chokis Sabor a Chocolate",17,25,17.52,Stock
"Choko Chokis Chocolate 84g",7,25,17.52,Stock
"Clorets ",20,10,7.48,Stock
"Club Social Galletas ",215.99999998272,10,5.18,Stock
"Coca Cola 20 oz",241.000000000864,35,24.67,Stock
"Coca Cola Light 20onz",65.00000000024,35,24.72,Stock
"Country Club Refresco Merengue 20oz",12,35,24.72,Stock
"Country Club Refresco Rojo 20oz",12,35,24.72,Stock
"Country Club Refresco Uva 20oz",44.000000000048,35,24.72,Stock
"Crackets Galletas 43g",120,10,7.18,Stock
"Crackets MiniSandwich",52.000000000096,25,16.5,Stock
"Croquetas de Pollo",20,30,20,Stock
"Cup Noodles Chicken",12.000000000048,75,25.83,Stock
"Cup Noodles Shrimp",12.000000000048,75,25.83,Stock
"Dasani Agua Saborizada 20oz",5,30,17.44,Stock
"Dasani Agua Saborizada Limon 20oz",18,30,17.44,Stock
"Dasani Agua Saborizada Mandarina 20oz",24,30,17.44,Stock
"Dasani Agua Saborizada Manzana 20oz",26,30,17.44,Stock
"Del Valle Jugo Frut Punch 16oz",18,30,17.3,Stock
"Del Valle Jugo Manzana 16oz",22,30,17.3,Stock
"Del Valle Jugo Naranja 16oz",89.000000000144,30,17.25,Stock
"Del Valle Jugos Uva",15,30,17.3,Stock
Doritos,106,40,24.11,Stock
"Emperador Chocolate Intenso 94g",24,30,21.03,Stock
"Emperador Chocolates 81g",24,25,17.52,Stock
"Emperador Vainilla Cremosa 81g",31,25,17.52,Stock
"Fanta Naranja 2oz",24.000000000048,35,24.67,Stock
"Fanta Uva 20oz",4,35,34.95,Stock
"Florentinas Sabor Fresa 83g",32,30,21.03,Stock
Fruitylicious!,60,60,35,Stock
"Halls Mentas Fresa",16,15,10.94,Stock
"Halls Menthol",16,15,10.94,Stock
"Hershey's Cookies & Creme",107.999999999136,45,32.22,Stock
"Hershey's Kisses",47.999999999616,45,35.83,Stock
"Hershey's Milk",35.999999999712,45,32.22,Stock
"Hojuelitas BBQ",56,15,7.18,Stock
"Hojuelitas Picantes",58,15,7.18,Stock
"Hojuelitas Quezo",66,15,7.18,Stock
"Honey Dew",15,150,99.75,Stock
"Infinity Chiclets (Frutas Rojas)",12.000000000048,30,22.04,Stock
"Infinity Chiclets (Yerbabuena)",12.000000000048,30,22.04,Stock
"Kikaboni Moringa Pita Chips 1.25oz",48,55,41.3,Stock
"Kikaboni Quinoa Pita Chips 1.25oz",24,55,41.3,Stock
"Lays Clasicas",58,40,24.11,Stock
"Lays Limon",40,40,24.11,Stock
"Lays Queso Blanco",93,40,24.11,Stock
"M & M Chocolate",48.000000000768,45,28.65,Stock
"M & M Con Mani",96.000000001536,45,28.65,Stock
Maduritos,8,40,17.52,Stock
"Milky Way",36.999999999712,45,28.61,Stock
"Mofongo Snak",103,40,24.11,Stock
"Nescafe Cafe Tradicion 500 g",3,1,1183.05,Stock
"Nescafe Capuchino",10,40,0,Stock
"Nescafe Latte 2 Lib",9,0,733.05,Stock
"Nescafe Mezcladores",2,1,292.37,Stock
"Nescafe Tapas",3,1,124.58,Stock
"Nescafe Vasos",7,1,176.27,Stock
"Nescau Con Leche Funda 1.3 kg",3,1,1100,Stock
"Nestea Limon",5,0,433.05,Stock
"Nestea Vasos",3,1,214.41,Stock
